word,Halloweentown,Into the Woods,total
oh,83,49,132
just,67,64,131
im,60,67,127
do,56,67,123
know,66,50,116
get,53,61,114
dont,54,55,109
go,47,58,105
woods,1,91,92
youre,32,55,87
like,64,20,84
come,51,28,79
see,39,38,77
yes,23,52,75
right,33,38,71
mother,30,35,65
did,25,36,61
back,22,39,61
look,27,29,56
good,23,30,53
want,25,27,52
wish,2,48,50
going,19,29,48
little,17,29,46
time,23,21,44
got,26,18,44
thats,32,11,43
prince,1,41,42
let,17,25,42
way,13,28,41
wait,8,31,39
thing,30,9,39
cant,23,16,39
yeah,23,15,38
take,11,27,38
think,19,17,36
two,13,22,35
said,14,21,35
house,10,25,35
home,16,19,35
help,21,14,35
gonna,30,4,34
world,20,13,33
make,13,20,33
theres,11,21,32
stop,15,17,32
need,10,22,32
ill,15,17,32
didnt,17,15,32
give,13,18,31
youve,14,16,30
mean,23,7,30
dear,24,6,30
am,15,15,30
things,8,21,29
hey,25,4,29
find,5,24,29
away,5,24,29
witch,19,9,28
shes,17,11,28
children,12,16,28
big,15,13,28
ooh,25,2,27
magic,16,11,27
really,17,9,26
lets,21,5,26
ive,12,14,26
child,2,24,26
tell,10,15,25
spell,8,17,25
please,12,13,25
hes,10,15,25
hair,8,17,25
whats,8,16,24
sorry,10,14,24
nice,6,18,24
doing,9,14,23
doesnt,16,7,23
thank,9,13,22
life,10,12,22
careful,5,17,22
weve,6,15,21
say,10,11,21
hello,7,14,21
girl,2,19,21
father,4,17,21
course,7,14,21
place,8,12,20
maybe,12,8,20
boy,3,17,20
youll,1,18,19
made,5,14,19
leave,5,14,19
witches,15,3,18
three,3,15,18
stay,5,13,18
young,3,14,17
uh,13,4,17
thought,8,9,17
moment,2,15,17
kind,7,10,17
does,11,6,17
came,10,7,17
bring,4,13,17
midnight,3,13,16
um,10,5,15
turn,12,3,15
true,5,10,15
thanks,13,2,15
sure,5,10,15
stuff,14,1,15
put,14,1,15
long,12,3,15
isnt,5,10,15
day,5,10,15
better,8,7,15
bad,11,4,15
wrong,5,9,14
sell,2,12,14
live,7,7,14
coming,12,2,14
trying,8,5,13
show,7,6,13
old,8,5,13
night,6,7,13
man,11,2,13
keep,10,3,13
fine,6,7,13
care,3,10,13
believe,7,6,13
theyre,6,6,12
shell,5,7,12
run,3,9,12
minute,5,7,12
knew,5,7,12
feel,3,9,12
done,3,9,12
dead,2,10,12
dark,5,7,12
return,4,7,11
mr,1,10,11
lost,3,8,11
guess,8,3,11
found,3,8,11
excuse,9,2,11
end,6,5,11
darling,1,10,11
worry,8,2,10
wont,6,4,10
wolf,1,9,10
understand,5,5,10
sky,1,9,10
remember,5,5,10
miss,2,8,10
light,3,7,10
lift,2,8,10
left,1,9,10
id,5,5,10
havent,6,4,10
ha,9,1,10
getting,6,4,10
ah,9,1,10
actually,7,3,10
wow,8,1,9
wasnt,4,5,9
soon,5,4,9
shoe,2,7,9
safe,1,8,9
people,4,5,9
open,7,2,9
love,1,8,9
learn,1,8,9
hours,8,1,9
baby,3,6,9
youd,3,5,8
wouldnt,2,6,8
woman,2,6,8
wants,3,5,8
talk,6,2,8
story,4,4,8
start,5,3,8
sir,1,7,8
seen,1,7,8
ran,2,6,8
mine,3,5,8
mind,1,7,8
lose,2,6,8
hold,3,5,8
hear,6,2,8
head,4,4,8
great,6,2,8
gone,2,6,8
fight,6,2,8
family,5,3,8
door,4,4,8
days,6,2,8
chance,7,1,8
best,2,6,8
working,5,2,7
whoa,4,3,7
wanted,3,4,7
waiting,2,5,7
use,5,2,7
trick,6,1,7
tonight,4,3,7
talking,5,2,7
real,6,1,7
quite,4,3,7
quick,2,5,7
past,1,6,7
part,5,2,7
ow,5,2,7
lot,3,4,7
lives,1,6,7
grandmothers,1,6,7
forever,5,2,7
fear,2,5,7
far,2,5,7
everybody,4,3,7
different,2,5,7
cause,2,5,7
anyway,5,2,7
work,5,1,6
witchs,3,3,6
turned,4,2,6
try,5,1,6
trees,1,5,6
told,2,4,6
till,1,5,6
thinking,3,3,6
terrible,1,5,6
supposed,3,3,6
suppose,4,2,6
special,5,1,6
save,5,1,6
running,2,4,6
pretty,5,1,6
mothers,2,4,6
lovely,1,5,6
looking,2,4,6
kiss,1,5,6
king,2,4,6
idea,4,2,6
dare,2,4,6
comes,1,5,6
certain,1,5,6
buy,1,5,6
brave,1,5,6
attention,1,5,6
ask,3,3,6
arent,1,5,6
watch,3,2,5
tomorrow,2,3,5
times,3,2,5
spells,4,1,5
sister,4,1,5
second,1,4,5
pick,1,4,5
panic,3,2,5
meet,1,4,5
luck,3,2,5
leaving,1,4,5
leaves,1,4,5
late,3,2,5
lady,1,4,5
knows,1,4,5
join,3,2,5
hope,2,3,5
high,1,4,5
hide,1,4,5
heart,2,3,5
heard,1,4,5
happy,2,3,5
happened,1,4,5
handsome,2,3,5
half,2,3,5
grandmother,1,4,5
gave,1,4,5
fun,2,3,5
food,1,4,5
follow,4,1,5
fast,1,4,5
face,2,3,5
excited,1,4,5
especially,3,2,5
decide,1,4,5
clear,1,4,5
changed,2,3,5
call,4,1,5
brought,1,4,5
brother,3,2,5
bit,2,3,5
bed,3,2,5
awesome,4,1,5
afraid,3,2,5
years,3,1,4
wheres,2,2,4
went,1,3,4
visit,1,3,4
trust,3,1,4
touch,1,3,4
telling,2,2,4
teach,2,2,4
taking,1,3,4
stolen,1,3,4
standing,1,3,4
smart,3,1,4
sit,2,2,4
sick,2,2,4
scary,1,3,4
says,3,1,4
rest,1,3,4
reason,3,1,4
ready,1,3,4
quiet,1,3,4
protect,1,3,4
promise,1,3,4
poor,2,2,4
perfect,2,2,4
needs,2,2,4
name,1,3,4
move,2,2,4
met,2,2,4
lived,1,3,4
kitchen,3,1,4
ingredients,2,2,4
important,3,1,4
hurt,3,1,4
hungry,1,3,4
humming,3,1,4
humans,3,1,4
hour,1,3,4
happening,3,1,4
happen,2,2,4
goodbye,1,3,4
full,1,3,4
friends,3,1,4
forgot,1,3,4
forget,1,3,4
foolish,1,3,4
finally,3,1,4
fetch,1,3,4
ear,1,3,4
dream,3,1,4
dog,3,1,4
decided,3,1,4
dangerous,2,2,4
creature,3,1,4
couple,2,2,4
couldve,3,1,4
buying,2,2,4
begin,1,3,4
wonderful,2,1,3
weeks,1,2,3
wall,2,1,3
truth,2,1,3
top,1,2,3
today,2,1,3
thinks,2,1,3
strange,1,2,3
started,2,1,3
stand,1,2,3
six,1,2,3
shh,2,1,3
set,1,2,3
seeing,2,1,3
ride,2,1,3
proud,1,2,3
prefer,1,2,3
power,2,1,3
ones,2,1,3
nights,1,2,3
new,2,1,3
moving,2,1,3
mistake,2,1,3
missing,2,1,3
means,1,2,3
making,1,2,3
lucky,2,1,3
loved,2,1,3
locked,1,2,3
keeps,2,1,3
itll,2,1,3
instead,1,2,3
inside,1,2,3
honor,1,2,3
hiding,1,2,3
hell,1,2,3
having,2,1,3
hand,2,1,3
grow,1,2,3
goodness,2,1,3
gives,1,2,3
future,2,1,3
flowers,1,2,3
fit,1,2,3
fill,2,1,3
fighting,2,1,3
fall,1,2,3
extra,1,2,3
explore,1,2,3
expected,1,2,3
exciting,1,2,3
enjoy,1,2,3
eat,2,1,3
dress,1,2,3
disappeared,2,1,3
disappear,2,1,3
deal,2,1,3
couldnt,2,1,3
cheese,2,1,3
certainly,1,2,3
catch,2,1,3
bunch,2,1,3
bride,1,2,3
boring,2,1,3
bones,1,2,3
blue,1,2,3
aware,1,2,3
asleep,2,1,3
admit,2,1,3
youth,1,1,2
worried,1,1,2
wondering,1,1,2
wild,1,1,2
upset,1,1,2
unless,1,1,2
ugly,1,1,2
ugh,1,1,2
twice,1,1,2
tight,1,1,2
third,1,1,2
tend,1,1,2
taken,1,1,2
sweeping,1,1,2
swear,1,1,2
suitcase,1,1,2
store,1,1,2
stomach,1,1,2
step,1,1,2
square,1,1,2
spread,1,1,2
speak,1,1,2
showed,1,1,2
shed,1,1,2
separate,1,1,2
send,1,1,2
saying,1,1,2
saw,1,1,2
rush,1,1,2
remembering,1,1,2
quarter,1,1,2
pushed,1,1,2
pretending,1,1,2
prepare,1,1,2
possibly,1,1,2
personally,1,1,2
person,1,1,2
pain,1,1,2
neighbors,1,1,2
missed,1,1,2
men,1,1,2
lunch,1,1,2
listening,1,1,2
league,1,1,2
killing,1,1,2
kept,1,1,2
hid,1,1,2
heres,1,1,2
hed,1,1,2
heads,1,1,2
hasnt,1,1,2
glad,1,1,2
giving,1,1,2
followed,1,1,2
fly,1,1,2
finish,1,1,2
fell,1,1,2
feelings,1,1,2
evening,1,1,2
eggs,1,1,2
eating,1,1,2
drop,1,1,2
defies,1,1,2
dawn,1,1,2
crashing,1,1,2
count,1,1,2
confess,1,1,2
completely,1,1,2
compared,1,1,2
choices,1,1,2
chaos,1,1,2
cast,1,1,2
business,1,1,2
boys,1,1,2
belong,1,1,2
beauty,1,1,2
battle,1,1,2
awful,1,1,2
arms,1,1,2
alive,1,1,2
ahh,1,1,2
grandma,56,0,56
marnie,36,0,36
mom,31,0,31
sophie,20,0,20
ok,20,0,20
bus,20,0,20
halloween,19,0,19
bet,18,0,18
kids,17,0,17
halloweentown,17,0,17
talisman,14,0,14
powers,14,0,14
dylan,14,0,14
cromwell,14,0,14
bye,14,0,14
sighs,12,0,12
gwen,12,0,12
calabar,11,0,11
mortal,10,0,10
human,10,0,10
huh,10,0,10
whoo,9,0,9
normal,9,0,9
gotta,9,0,9
evil,9,0,9
training,8,0,8
stroke,8,0,8
march,8,0,8
luke,8,0,8
guys,8,0,8
ghost,8,0,8
cromwells,8,0,8
weird,7,0,7
powerful,7,0,7
book,7,0,7
aggie,7,0,7
ya,6,0,6
werewolf,6,0,6
vampires,6,0,6
trouble,6,0,6
sweat,6,0,6
moaning,6,0,6
mm,6,0,6
mayor,6,0,6
hm,6,0,6
hi,6,0,6
guythur,6,0,6
grandmas,6,0,6
creatures,6,0,6
broom,6,0,6
used,5,0,5
totally,5,0,5
somebodys,5,0,5
presents,5,0,5
party,5,0,5
monsters,5,0,5
job,5,0,5
harriet,5,0,5
gugaun,5,0,5
ghosts,5,0,5
dinner,5,0,5
cool,5,0,5
cookie,5,0,5
candy,5,0,5
bid,5,0,5
attendant,5,0,5
works,4,0,4
vu,4,0,4
tried,4,0,4
town,4,0,4
sweetheart,4,0,4
school,4,0,4
reveal,4,0,4
pretend,4,0,4
number,4,0,4
mommy,4,0,4
laughter,4,0,4
laughing,4,0,4
later,4,0,4
hoo,4,0,4
guy,4,0,4
force,4,0,4
dja,4,0,4
cledyfrutm,4,0,4
bell,4,0,4
anoeth,4,0,4
whispering,3,0,3
whered,3,0,3
warlock,3,0,3
train,3,0,3
tired,3,0,3
statues,3,0,3
soph,3,0,3
soapy,3,0,3
simple,3,0,3
shadow,3,0,3
serious,3,0,3
screeching,3,0,3
screams,3,0,3
roots,3,0,3
ringing,3,0,3
probably,3,0,3
plus,3,0,3
neat,3,0,3
movies,3,0,3
mortals,3,0,3
marnies,3,0,3
looks,3,0,3
lit,3,0,3
laughs,3,0,3
kid,3,0,3
involved,3,0,3
installing,3,0,3
grammy,3,0,3
goes,3,0,3
fellow,3,0,3
fang,3,0,3
eye,3,0,3
eh,3,0,3
dumb,3,0,3
drive,3,0,3
decorations,3,0,3
dad,3,0,3
crowd,3,0,3
crazy,3,0,3
costume,3,0,3
caffeine,3,0,3
button,3,0,3
brew,3,0,3
betty,3,0,3
appreciate,3,0,3
ago,3,0,3
aboard,3,0,3
year,2,0,2
yay,2,0,2
worst,2,0,2
worlds,2,0,2
wondered,2,0,2
wiener,2,0,2
whistles,2,0,2
whistle,2,0,2
vegetables,2,0,2
vampire,2,0,2
tv,2,0,2
treating,2,0,2
treat,2,0,2
trained,2,0,2
traditions,2,0,2
tradition,2,0,2
tires,2,0,2
th,2,0,2
sweetie,2,0,2
sweet,2,0,2
stronger,2,0,2
stopping,2,0,2
squawks,2,0,2
spore,2,0,2
someplace,2,0,2
snot,2,0,2
sleep,2,0,2
skeletons,2,0,2
shut,2,0,2
shopping,2,0,2
shop,2,0,2
shelter,2,0,2
screaming,2,0,2
schedule,2,0,2
rumbling,2,0,2
round,2,0,2
river,2,0,2
recipe,2,0,2
read,2,0,2
raise,2,0,2
punk,2,0,2
pumpkin,2,0,2
precious,2,0,2
polite,2,0,2
plenty,2,0,2
pins,2,0,2
overlapping,2,0,2
ornament,2,0,2
nutcase,2,0,2
needles,2,0,2
nature,2,0,2
mouth,2,0,2
moms,2,0,2
merlins,2,0,2
losing,2,0,2
lock,2,0,2
local,2,0,2
line,2,0,2
leftovers,2,0,2
jobs,2,0,2
iron,2,0,2
install,2,0,2
hung,2,0,2
hoping,2,0,2
hoped,2,0,2
hard,2,0,2
hang,2,0,2
handle,2,0,2
grunting,2,0,2
grownup,2,0,2
goblins,2,0,2
glass,2,0,2
funny,2,0,2
fact,2,0,2
ew,2,0,2
em,2,0,2
duh,2,0,2
dude,2,0,2
dressed,2,0,2
drat,2,0,2
downer,2,0,2
distract,2,0,2
destroy,2,0,2
daughter,2,0,2
date,2,0,2
darkness,2,0,2
cute,2,0,2
costumes,2,0,2
continue,2,0,2
class,2,0,2
chowder,2,0,2
chicken,2,0,2
check,2,0,2
chatter,2,0,2
celebrate,2,0,2
calling,2,0,2
called,2,0,2
buster,2,0,2
bubble,2,0,2
brooms,2,0,2
break,2,0,2
born,2,0,2
bone,2,0,2
blowing,2,0,2
benny,2,0,2
bag,2,0,2
anymore,2,0,2
altogether,2,0,2
aint,2,0,2
age,2,0,2
agatha,2,0,2
zip,1,0,1
zero,1,0,1
yells,1,0,1
yee,1,0,1
write,1,0,1
wrap,1,0,1
worked,1,0,1
word,1,0,1
wor,1,0,1
wonderfully,1,0,1
wolfies,1,0,1
wished,1,0,1
winning,1,0,1
winner,1,0,1
windsweeper,1,0,1
win,1,0,1
williams,1,0,1
wiccan,1,0,1
welsh,1,0,1
welcome,1,0,1
weirdo,1,0,1
wears,1,0,1
wastrel,1,0,1
waste,1,0,1
washed,1,0,1
warts,1,0,1
warlocks,1,0,1
wanna,1,0,1
volunteer,1,0,1
vivida,1,0,1
visits,1,0,1
video,1,0,1
vi,1,0,1
verge,1,0,1
vastly,1,0,1
vanquished,1,0,1
vacation,1,0,1
using,1,0,1
urgent,1,0,1
urban,1,0,1
upstairs,1,0,1
upsetting,1,0,1
upitidas,1,0,1
unibody,1,0,1
unfair,1,0,1
underworld,1,0,1
underestimate,1,0,1
uncovered,1,0,1
unchecked,1,0,1
ugliest,1,0,1
twerp,1,0,1
turns,1,0,1
turning,1,0,1
troubles,1,0,1
troublemakers,1,0,1
trimmings,1,0,1
tricks,1,0,1
treatment,1,0,1
trap,1,0,1
transparent,1,0,1
toxic,1,0,1
tooth,1,0,1
tolling,1,0,1
toil,1,0,1
title,1,0,1
tie,1,0,1
tickets,1,0,1
ticket,1,0,1
thursday,1,0,1
threatens,1,0,1
thinning,1,0,1
thermostat,1,0,1
theirs,1,0,1
thee,1,0,1
theater,1,0,1
thatll,1,0,1
thatd,1,0,1
technician,1,0,1
taste,1,0,1
tantrum,1,0,1
taller,1,0,1
talked,1,0,1
tackle,1,0,1
system,1,0,1
swimming,1,0,1
sundae,1,0,1
sulfuric,1,0,1
suit,1,0,1
suffice,1,0,1
suffer,1,0,1
success,1,0,1
styx,1,0,1
stupid,1,0,1
stuffs,1,0,1
studies,1,0,1
streets,1,0,1
street,1,0,1
stir,1,0,1
stinky,1,0,1
sticky,1,0,1
stereotypes,1,0,1
static,1,0,1
starts,1,0,1
stars,1,0,1
stare,1,0,1
squishing,1,0,1
squawking,1,0,1
springer,1,0,1
spook,1,0,1
split,1,0,1
spirits,1,0,1
spirit,1,0,1
spends,1,0,1
specifically,1,0,1
speaking,1,0,1
sounds,1,0,1
sounded,1,0,1
sound,1,0,1
sorts,1,0,1
songs,1,0,1
song,1,0,1
somethings,1,0,1
snowman,1,0,1
snazzier,1,0,1
smelled,1,0,1
smell,1,0,1
smallest,1,0,1
slobbering,1,0,1
slimiest,1,0,1
slams,1,0,1
skinner,1,0,1
sixth,1,0,1
sisters,1,0,1
silly,1,0,1
signs,1,0,1
shrub,1,0,1
shrimp,1,0,1
shows,1,0,1
showing,1,0,1
shot,1,0,1
short,1,0,1
shelves,1,0,1
settled,1,0,1
settle,1,0,1
sesame,1,0,1
seriously,1,0,1
secret,1,0,1
sea,1,0,1
scratch,1,0,1
scheduling,1,0,1
scare,1,0,1
savory,1,0,1
saving,1,0,1
sand,1,0,1
sance,1,0,1
salad,1,0,1
sake,1,0,1
sadie,1,0,1
runs,1,0,1
ruler,1,0,1
ruled,1,0,1
rule,1,0,1
rooms,1,0,1
room,1,0,1
rite,1,0,1
risks,1,0,1
rightfully,1,0,1
rhyme,1,0,1
respect,1,0,1
residents,1,0,1
resemblance,1,0,1
replacement,1,0,1
repelle,1,0,1
removes,1,0,1
removed,1,0,1
recruit,1,0,1
reclaim,1,0,1
reasons,1,0,1
reading,1,0,1
razor,1,0,1
raunchiest,1,0,1
radio,1,0,1
rad,1,0,1
quod,1,0,1
queen,1,0,1
purpose,1,0,1
purple,1,0,1
pumpkins,1,0,1
pta,1,0,1
proves,1,0,1
protecting,1,0,1
properly,1,0,1
proper,1,0,1
professionals,1,0,1
problems,1,0,1
problem,1,0,1
precisely,1,0,1
practice,1,0,1
practically,1,0,1
pouring,1,0,1
potato,1,0,1
point,1,0,1
playing,1,0,1
plastic,1,0,1
plans,1,0,1
pitched,1,0,1
pimple,1,0,1
picked,1,0,1
period,1,0,1
pentagram,1,0,1
peace,1,0,1
pat,1,0,1
passed,1,0,1
passage,1,0,1
pardon,1,0,1
panting,1,0,1
palm,1,0,1
overrated,1,0,1
overnight,1,0,1
outside,1,0,1
ought,1,0,1
original,1,0,1
omelets,1,0,1
offer,1,0,1
odor,1,0,1
odds,1,0,1
occur,1,0,1
obviously,1,0,1
obvious,1,0,1
obsessed,1,0,1
notebook,1,0,1
nose,1,0,1
nos,1,0,1
nicest,1,0,1
nicely,1,0,1
neighbor,1,0,1
needed,1,0,1
natures,1,0,1
nameless,1,0,1
nada,1,0,1
nachos,1,0,1
myth,1,0,1
mysterious,1,0,1
musty,1,0,1
mushroom,1,0,1
museum,1,0,1
muffled,1,0,1
muffin,1,0,1
movie,1,0,1
moved,1,0,1
motorcycle,1,0,1
moose,1,0,1
mood,1,0,1
monster,1,0,1
monkeys,1,0,1
mold,1,0,1
models,1,0,1
mode,1,0,1
mocking,1,0,1
mix,1,0,1
mistaken,1,0,1
miserable,1,0,1
mirage,1,0,1
minivans,1,0,1
minimart,1,0,1
mile,1,0,1
microchip,1,0,1
metallic,1,0,1
message,1,0,1
merlin,1,0,1
merely,1,0,1
meetings,1,0,1
mayors,1,0,1
math,1,0,1
match,1,0,1
master,1,0,1
masks,1,0,1
mask,1,0,1
marrying,1,0,1
marry,1,0,1
marlie,1,0,1
mark,1,0,1
magical,1,0,1
loud,1,0,1
loss,1,0,1
lon,1,0,1
lollypop,1,0,1
loki,1,0,1
logic,1,0,1
lodge,1,0,1
liver,1,0,1
lincoln,1,0,1
limp,1,0,1
likes,1,0,1
lights,1,0,1
legal,1,0,1
leftover,1,0,1
la,1,0,1
knee,1,0,1
kinds,1,0,1
kiddin,1,0,1
judge,1,0,1
jubentis,1,0,1
joins,1,0,1
joe,1,0,1
jerry,1,0,1
jerk,1,0,1
jaded,1,0,1
interested,1,0,1
instant,1,0,1
insanity,1,0,1
influence,1,0,1
impressionable,1,0,1
impossible,1,0,1
impetit,1,0,1
immune,1,0,1
imitation,1,0,1
imitated,1,0,1
imagination,1,0,1
ideas,1,0,1
ice,1,0,1
hypnotized,1,0,1
hum,1,0,1
huge,1,0,1
hubble,1,0,1
hows,1,0,1
howls,1,0,1
howdy,1,0,1
hot,1,0,1
horrible,1,0,1
honey,1,0,1
homes,1,0,1
holiday,1,0,1
hit,1,0,1
hips,1,0,1
hints,1,0,1
hinges,1,0,1
hieroglyphics,1,0,1
hereditary,1,0,1
herb,1,0,1
helps,1,0,1
headless,1,0,1
headache,1,0,1
haunts,1,0,1
hateful,1,0,1
hanging,1,0,1
handful,1,0,1
handed,1,0,1
hallucinating,1,0,1
hairstyling,1,0,1
hades,1,0,1
gwens,1,0,1
gwendolyn,1,0,1
guts,1,0,1
gunther,1,0,1
gum,1,0,1
guggenheim,1,0,1
grunts,1,0,1
grown,1,0,1
growing,1,0,1
grounded,1,0,1
groaning,1,0,1
grip,1,0,1
graveyards,1,0,1
grandkids,1,0,1
goose,1,0,1
goin,1,0,1
gnomes,1,0,1
gnome,1,0,1
glory,1,0,1
glo,1,0,1
gets,1,0,1
generations,1,0,1
gasps,1,0,1
gang,1,0,1
gander,1,0,1
gah,1,0,1
fungus,1,0,1
fumes,1,0,1
frustrating,1,0,1
