word,The Blair Witch Project,The Crucible,total
im,109,20,129
do,52,71,123
know,71,42,113
man,64,41,105
just,85,1,86
get,78,8,86
come,33,53,86
go,45,39,84
like,66,16,82
dont,68,13,81
oh,41,37,78
going,71,7,78
god,22,47,69
back,59,8,67
sir,3,61,64
good,17,47,64
think,31,24,55
see,20,32,52
devil,1,50,51
did,16,34,50
say,19,30,49
tell,12,36,48
thats,35,11,46
look,23,22,45
night,24,20,44
ahead,41,1,42
please,33,8,41
mary,10,31,41
lets,40,1,41
am,12,29,41
want,24,15,39
way,32,5,37
give,12,25,37
woman,20,15,35
witch,19,14,33
stop,17,16,33
right,30,3,33
let,4,29,33
ill,8,24,32
name,2,29,31
got,26,5,31
help,15,15,30
hear,16,13,29
saw,2,26,28
time,10,17,27
cant,15,12,27
away,18,9,27
house,10,16,26
ive,15,10,25
take,7,17,24
put,13,11,24
people,11,13,24
child,1,23,24
turn,16,7,23
theres,18,5,23
cut,18,5,23
woods,19,3,22
hes,14,8,22
day,17,5,22
bring,1,21,22
keep,12,9,21
life,3,17,20
find,13,7,20
believe,8,12,20
two,13,6,19
said,8,11,19
love,3,16,19
lost,16,3,19
looking,18,1,19
light,14,5,19
lie,1,18,19
knew,8,11,19
heard,12,7,19
youre,10,8,18
today,14,4,18
thing,15,3,18
morning,9,9,18
make,6,12,18
children,1,17,18
shes,7,10,17
old,14,3,17
witchcraft,2,14,16
weve,15,1,16
told,2,14,16
sure,7,9,16
sorry,15,1,16
little,14,2,16
inside,15,1,16
home,10,6,16
girl,7,9,16
fear,3,13,16
yes,11,4,15
sign,1,14,15
seen,3,12,15
need,10,5,15
mean,7,8,15
hell,6,9,15
hands,7,8,15
didnt,14,1,15
work,5,9,14
whats,10,4,14
wake,1,13,14
three,10,4,14
says,8,6,14
made,3,11,14
jesus,11,3,14
hope,5,9,14
face,9,5,14
die,5,9,14
open,5,8,13
leave,7,6,13
done,5,8,13
book,4,9,13
theyre,2,10,12
men,7,5,12
long,9,3,12
hang,2,10,12
cause,9,3,12
baby,11,1,12
wait,7,4,11
thank,6,5,11
place,7,4,11
found,10,1,11
dead,4,7,11
came,3,8,11
bound,6,5,11
walking,8,2,10
sit,2,8,10
hurt,3,7,10
head,8,2,10
hard,5,5,10
happy,9,1,10
fire,6,4,10
eyes,3,7,10
coming,6,4,10
cold,4,6,10
call,5,5,10
ah,5,5,10
youve,5,4,9
youll,1,8,9
went,8,1,9
walk,7,2,9
understand,5,4,9
truth,1,8,9
town,4,5,9
tomorrow,6,3,9
thought,3,6,9
save,2,7,9
near,7,2,9
hand,4,5,9
gone,2,7,9
end,4,5,9
doing,7,2,9
does,4,5,9
close,7,2,9
black,1,8,9
year,1,7,8
witches,2,6,8
wish,1,7,8
wasnt,7,1,8
small,6,2,8
saying,5,3,8
run,3,5,8
pretty,7,1,8
possible,7,1,8
mister,3,5,8
mans,3,5,8
knows,4,4,8
kill,2,6,8
gave,6,2,8
darkness,7,1,8
damn,4,4,8
called,3,5,8
blood,2,6,8
bless,2,6,8
anymore,5,3,8
yesterday,6,1,7
uh,6,1,7
strange,3,4,7
sticks,5,2,7
stick,6,1,7
stay,6,1,7
soon,2,5,7
shh,3,4,7
set,5,2,7
running,4,3,7
rest,5,2,7
remember,5,2,7
reading,4,3,7
move,3,4,7
middle,6,1,7
left,4,3,7
laugh,6,1,7
id,4,3,7
high,3,4,7
finger,6,1,7
fine,6,1,7
feel,5,2,7
cry,4,3,7
comes,1,6,7
babies,3,4,7
wheres,5,1,6
wanted,4,2,6
walks,5,1,6
turns,5,1,6
true,2,4,6
trees,5,1,6
tonight,2,4,6
quiet,4,2,6
naked,1,5,6
maybe,5,1,6
mark,1,5,6
makes,3,3,6
loose,3,3,6
holy,3,3,6
hold,3,3,6
forest,1,5,6
feet,5,1,6
deny,1,5,6
crazy,5,1,6
brought,2,4,6
beer,5,1,6
bag,5,1,6
wicked,4,1,5
water,4,1,5
trying,4,1,5
touch,2,3,5
took,3,2,5
things,3,2,5
telling,3,2,5
taking,3,2,5
taken,1,4,5
silence,3,2,5
shut,3,2,5
road,2,3,5
recall,1,4,5
quickly,2,3,5
mouth,4,1,5
moment,2,3,5
mind,3,2,5
havent,4,1,5
full,4,1,5
free,1,4,5
fault,4,1,5
fall,3,2,5
doesnt,4,1,5
dark,4,1,5
break,2,3,5
books,1,4,5
body,1,4,5
big,4,1,5
bible,2,3,5
better,2,3,5
bad,2,3,5
years,3,1,4
writing,3,1,4
worth,3,1,4
white,2,2,4
whispering,1,3,4
welcome,2,2,4
wants,2,2,4
walked,3,1,4
times,2,2,4
thee,1,3,4
talking,1,3,4
swear,2,2,4
stuck,1,3,4
straight,2,2,4
standing,3,1,4
sleep,2,2,4
show,2,2,4
ship,1,3,4
seven,3,1,4
scream,3,1,4
room,2,2,4
purpose,1,3,4
pretend,1,3,4
neighbors,1,3,4
michael,3,1,4
meet,3,1,4
means,2,2,4
matter,3,1,4
marys,3,1,4
listen,2,2,4
learned,3,1,4
kiss,3,1,4
kept,1,3,4
keeps,1,3,4
heavy,2,2,4
having,3,1,4
hanging,1,3,4
goat,1,3,4
evidence,1,3,4
ear,1,3,4
death,2,2,4
clear,1,3,4
broke,2,2,4
bottom,2,2,4
best,2,2,4
ago,2,2,4
wives,1,2,3
wits,1,2,3
winter,2,1,3
whos,2,1,3
weight,1,2,3
weeps,1,2,3
touched,1,2,3
till,1,2,3
throws,2,1,3
thinking,1,2,3
terrible,1,2,3
stone,1,2,3
stand,1,2,3
spite,1,2,3
search,1,2,3
safe,1,2,3
remove,1,2,3
record,2,1,3
quite,2,1,3
pure,1,2,3
poor,1,2,3
persons,1,2,3
part,1,2,3
notice,2,1,3
nights,2,1,3
natural,1,2,3
lying,2,1,3
losing,2,1,3
learn,2,1,3
knees,2,1,3
king,2,1,3
isnt,2,1,3
ice,2,1,3
hurry,1,2,3
hearing,1,2,3
hate,2,1,3
grows,2,1,3
grace,1,2,3
goes,1,2,3
giving,1,2,3
friend,1,2,3
four,2,1,3
forever,1,2,3
fingers,2,1,3
field,2,1,3
familiar,1,2,3
drop,2,1,3
drink,2,1,3
door,1,2,3
danger,2,1,3
course,1,2,3
country,2,1,3
couldnt,1,2,3
committed,1,2,3
change,1,2,3
breath,2,1,3
bite,2,1,3
attacking,1,2,3
arm,1,2,3
absolutely,2,1,3
working,1,1,2
wondered,1,1,2
unusual,1,1,2
twice,1,1,2
turning,1,1,2
torture,1,1,2
thinks,1,1,2
teeth,1,1,2
tears,1,1,2
sun,1,1,2
stories,1,1,2
stands,1,1,2
soft,1,1,2
smell,1,1,2
six,1,1,2
sister,1,1,2
shudder,1,1,2
shoulder,1,1,2
separate,1,1,2
screaming,1,1,2
return,1,1,2
red,1,1,2
quit,1,1,2
quick,1,1,2
properly,1,1,2
prepared,1,1,2
pick,1,1,2
person,1,1,2
permission,1,1,2
pass,1,1,2
number,1,1,2
nine,1,1,2
moving,1,1,2
mouths,1,1,2
marked,1,1,2
marches,1,1,2
line,1,1,2
laying,1,1,2
laughed,1,1,2
late,1,1,2
jabbing,1,1,2
image,1,1,2
huh,1,1,2
heres,1,1,2
grapple,1,1,2
follow,1,1,2
floor,1,1,2
flesh,1,1,2
fast,1,1,2
expect,1,1,2
examine,1,1,2
edge,1,1,2
eating,1,1,2
easier,1,1,2
earth,1,1,2
drive,1,1,2
directly,1,1,2
deeply,1,1,2
damned,1,1,2
crack,1,1,2
corner,1,1,2
certain,1,1,2
carrying,1,1,2
breathe,1,1,2
belly,1,1,2
believed,1,1,2
backs,1,1,2
asking,1,1,2
agree,1,1,2
heather,525,0,525
mike,331,0,331
josh,274,0,274
cuts,113,0,113
fucking,95,0,95
okay,77,0,77
camera,62,0,62
shit,52,0,52
map,44,0,44
fuck,39,0,39
yeah,33,0,33
tent,33,0,33
really,27,0,27
fisherman,23,0,23
car,21,0,21
begins,18,0,18
wanna,16,0,16
video,15,0,15
joshs,15,0,15
gonna,15,0,15
distance,15,0,15
blair,15,0,15
voice,14,0,14
guys,14,0,14
gotta,14,0,14
whispers,13,0,13
scared,13,0,13
rock,13,0,13
laughs,13,0,13
laughing,13,0,13
sounds,12,0,12
shot,12,0,12
point,12,0,12
happened,12,0,12
ass,12,0,12
rocks,11,0,11
mm,11,0,11
log,11,0,11
hiking,11,0,11
cool,11,0,11
compass,11,0,11
stream,10,0,10
south,10,0,10
sound,10,0,10
slate,10,0,10
dat,10,0,10
cemetery,10,0,10
shooting,9,0,9
pack,9,0,9
getting,9,0,9
camp,9,0,9
story,8,0,8
seriously,8,0,8
ready,8,0,8
points,8,0,8
mikes,8,0,8
kinda,8,0,8
fucked,8,0,8
exactly,8,0,8
documentary,8,0,8
crying,8,0,8
check,8,0,8
useless,7,0,7
tree,7,0,7
trail,7,0,7
stuff,7,0,7
stairs,7,0,7
outside,7,0,7
mumbles,7,0,7
looks,7,0,7
kids,7,0,7
kidding,7,0,7
hours,7,0,7
holding,7,0,7
hair,7,0,7
guess,7,0,7
crossing,7,0,7
crew,7,0,7
creek,7,0,7
christ,7,0,7
brown,7,0,7
yah,6,0,6
try,6,0,6
tired,6,0,6
steps,6,0,6
sitting,6,0,6
project,6,0,6
muffled,6,0,6
mom,6,0,6
minutes,6,0,6
hello,6,0,6
heathers,6,0,6
five,6,0,6
deer,6,0,6
days,6,0,6
coffin,6,0,6
captain,6,0,6
wet,5,0,5
view,5,0,5
twigs,5,0,5
supposed,5,0,5
sleeping,5,0,5
shots,5,0,5
river,5,0,5
rain,5,0,5
playing,5,0,5
mikey,5,0,5
lot,5,0,5
leaving,5,0,5
later,5,0,5
hit,5,0,5
gear,5,0,5
games,5,0,5
forth,5,0,5
film,5,0,5
east,5,0,5
dude,5,0,5
bullshit,5,0,5
bit,5,0,5
area,5,0,5
werent,4,0,4
watch,4,0,4
um,4,0,4
totally,4,0,4
top,4,0,4
sobs,4,0,4
sighs,4,0,4
side,4,0,4
shoot,4,0,4
shhh,4,0,4
serious,4,0,4
scene,4,0,4
relax,4,0,4
pocket,4,0,4
piles,4,0,4
pants,4,0,4
pain,4,0,4
packed,4,0,4
ones,4,0,4
meters,4,0,4
making,4,0,4
lights,4,0,4
knock,4,0,4
kicked,4,0,4
insisted,4,0,4
important,4,0,4
hungry,4,0,4
hike,4,0,4
hey,4,0,4
haunted,4,0,4
ground,4,0,4
gate,4,0,4
filming,4,0,4
far,4,0,4
equipment,4,0,4
cries,4,0,4
cracking,4,0,4
continues,4,0,4
cellar,4,0,4
burkittsville,4,0,4
bundle,4,0,4
bodies,4,0,4
asshole,4,0,4
america,4,0,4
alright,4,0,4
whispered,3,0,3
washing,3,0,3
used,3,0,3
tries,3,0,3
throw,3,0,3
supposedly,3,0,3
store,3,0,3
stops,3,0,3
stopped,3,0,3
somebody,3,0,3
smart,3,0,3
slime,3,0,3
sixteen,3,0,3
shirt,3,0,3
shawl,3,0,3
second,3,0,3
scotch,3,0,3
scary,3,0,3
rustling,3,0,3
reality,3,0,3
putting,3,0,3
pushes,3,0,3
potatoes,3,0,3
pile,3,0,3
picks,3,0,3
panting,3,0,3
packs,3,0,3
opening,3,0,3
nope,3,0,3
nice,3,0,3
movies,3,0,3
motivation,3,0,3
moans,3,0,3
mashed,3,0,3
maryland,3,0,3
louder,3,0,3
loosing,3,0,3
leaf,3,0,3
hundred,3,0,3
horse,3,0,3
gloves,3,0,3
ghosts,3,0,3
gasps,3,0,3
fur,3,0,3
funny,3,0,3
footage,3,0,3
excited,3,0,3
ended,3,0,3
ditch,3,0,3
disappeared,3,0,3
diner,3,0,3
defiantly,3,0,3
creepy,3,0,3
couple,3,0,3
confronts,3,0,3
cigarette,3,0,3
chest,3,0,3
care,3,0,3
campsite,3,0,3
cameras,3,0,3
calm,3,0,3
breaks,3,0,3
bought,3,0,3
bottle,3,0,3
boots,3,0,3
bitch,3,0,3
anybody,3,0,3
american,3,0,3
alive,3,0,3
aint,3,0,3
actually,3,0,3
zooms,2,0,2
young,2,0,2
yo,2,0,2
yelling,2,0,2
yell,2,0,2
wow,2,0,2
wouldnt,2,0,2
whisper,2,0,2
whatd,2,0,2
west,2,0,2
wandered,2,0,2
walls,2,0,2
wall,2,0,2
various,2,0,2
using,2,0,2
use,2,0,2
unintelligible,2,0,2
uncool,2,0,2
twenty,2,0,2
trust,2,0,2
thick,2,0,2
taping,2,0,2
table,2,0,2
sudden,2,0,2
streams,2,0,2
statement,2,0,2
starts,2,0,2
start,2,0,2
souvenir,2,0,2
sounding,2,0,2
sounded,2,0,2
sorts,2,0,2
smokes,2,0,2
sky,2,0,2
sings,2,0,2
sing,2,0,2
shows,2,0,2
shouldnt,2,0,2
short,2,0,2
shoes,2,0,2
shivers,2,0,2
shits,2,0,2
shifts,2,0,2
sets,2,0,2
seconds,2,0,2
screwed,2,0,2
screams,2,0,2
scouted,2,0,2
schedule,2,0,2
salad,2,0,2
runs,2,0,2
row,2,0,2
rocking,2,0,2
rising,2,0,2
ripkin,2,0,2
rice,2,0,2
remain,2,0,2
redneck,2,0,2
rear,2,0,2
realize,2,0,2
real,2,0,2
reaching,2,0,2
ran,2,0,2
raisin,2,0,2
punch,2,0,2
pumpkin,2,0,2
probably,2,0,2
prints,2,0,2
prepare,2,0,2
powerbar,2,0,2
possibly,2,0,2
positive,2,0,2
porch,2,0,2
play,2,0,2
plan,2,0,2
piece,2,0,2
pie,2,0,2
period,2,0,2
parr,2,0,2
packing,2,0,2
opened,2,0,2
ohhh,2,0,2
obvious,2,0,2
noises,2,0,2
naive,2,0,2
myth,2,0,2
mouse,2,0,2
mountain,2,0,2
motions,2,0,2
motel,2,0,2
moms,2,0,2
mirror,2,0,2
messing,2,0,2
meatball,2,0,2
lens,2,0,2
leaves,2,0,2
laughter,2,0,2
laid,2,0,2
knocked,2,0,2
kind,2,0,2
kay,2,0,2
joshes,2,0,2
island,2,0,2
ieee,2,0,2
hyperventilate,2,0,2
hunted,2,0,2
human,2,0,2
hot,2,0,2
hitting,2,0,2
hill,2,0,2
hi,2,0,2
harry,2,0,2
hahaha,2,0,2
haha,2,0,2
haaa,2,0,2
guzzling,2,0,2
gray,2,0,2
grab,2,0,2
goddamn,2,0,2
gives,2,0,2
gilligan,2,0,2
gets,2,0,2
gathering,2,0,2
fuckin,2,0,2
front,2,0,2
freaking,2,0,2
footsteps,2,0,2
fool,2,0,2
following,2,0,2
flashlight,2,0,2
finally,2,0,2
fighting,2,0,2
fight,2,0,2
felt,2,0,2
feels,2,0,2
feeling,2,0,2
fat,2,0,2
fart,2,0,2
fact,2,0,2
explore,2,0,2
examines,2,0,2
embankment,2,0,2
eerie,2,0,2
edit,2,0,2
earshot,2,0,2
dunno,2,0,2
driving,2,0,2
doubles,2,0,2
disgust,2,0,2
disappearing,2,0,2
direct,2,0,2
different,2,0,2
deal,2,0,2
dad,2,0,2
cross,2,0,2
cream,2,0,2
crawl,2,0,2
cp,2,0,2
compared,2,0,2
community,2,0,2
comforts,2,0,2
closer,2,0,2
climb,2,0,2
cigarettes,2,0,2
chill,2,0,2
cheeseburger,2,0,2
cars,2,0,2
camping,2,0,2
cal,2,0,2
cackling,2,0,2
cabin,2,0,2
business,2,0,2
breaking,2,0,2
branches,2,0,2
blurry,2,0,2
blows,2,0,2
bloody,2,0,2
blank,2,0,2
betrayed,2,0,2
begin,2,0,2
babbling,2,0,2
awe,2,0,2
asleep,2,0,2
asked,2,0,2
arrives,2,0,2
arms,2,0,2
appears,2,0,2
ahh,2,0,2
admit,2,0,2
able,2,0,2
zoom,1,0,1
yup,1,0,1
yep,1,0,1
yelled,1,0,1
yeehaww,1,0,1
yawns,1,0,1
yards,1,0,1
wrong,1,0,1
writings,1,0,1
write,1,0,1
wright,1,0,1
wrest,1,0,1
wouldve,1,0,1
worst,1,0,1
worse,1,0,1
worry,1,0,1
wool,1,0,1
wont,1,0,1
womans,1,0,1
woke,1,0,1
witchll,1,0,1
wine,1,0,1
windshield,1,0,1
windows,1,0,1
wildly,1,0,1
weird,1,0,1
weekend,1,0,1
weeds,1,0,1
weed,1,0,1
wed,1,0,1
weaver,1,0,1
weasel,1,0,1
ways,1,0,1
waves,1,0,1
watching,1,0,1
warmer,1,0,1
warm,1,0,1
waken,1,0,1
waitress,1,0,1
waaaahooooo,1,0,1
waaaahhhoooo,1,0,1
vultures,1,0,1
vine,1,0,1
vienna,1,0,1
videotapes,1,0,1
vhs,1,0,1
vapor,1,0,1
utz,1,0,1
usually,1,0,1
uruguay,1,0,1
unzips,1,0,1
unzipped,1,0,1
unusually,1,0,1
untie,1,0,1
unsnaged,1,0,1
unknown,1,0,1
unfolded,1,0,1
uncontrollable,1,0,1
uncomforted,1,0,1
uncomfortable,1,0,1
uhhms,1,0,1
twilights,1,0,1
tv,1,0,1
tumbling,1,0,1
trinkets,1,0,1
trick,1,0,1
trembling,1,0,1
traveling,1,0,1
trappers,1,0,1
trailer,1,0,1
track,1,0,1
touching,1,0,1
total,1,0,1
tossed,1,0,1
toss,1,0,1
torso,1,0,1
torn,1,0,1
tore,1,0,1
toe,1,0,1
toast,1,0,1
tightly,1,0,1
thrown,1,0,1
throwing,1,0,1
threatened,1,0,1
thin,1,0,1
thew,1,0,1
theme,1,0,1
thanks,1,0,1
terror,1,0,1
terrified,1,0,1
tells,1,0,1
tastes,1,0,1
tapings,1,0,1
tape,1,0,1
tall,1,0,1
tale,1,0,1
takes,1,0,1
system,1,0,1
symbols,1,0,1
swivels,1,0,1
swings,1,0,1
swig,1,0,1
swats,1,0,1
surprised,1,0,1
suppose,1,0,1
suns,1,0,1
sunday,1,0,1
stutters,1,0,1
stupid,1,0,1
student,1,0,1
struggling,1,0,1
struggles,1,0,1
struggle,1,0,1
structure,1,0,1
strips,1,0,1
strip,1,0,1
string,1,0,1
stress,1,0,1
street,1,0,1
strap,1,0,1
stirring,1,0,1
stir,1,0,1
step,1,0,1
stench,1,0,1
state,1,0,1
starting,1,0,1
started,1,0,1
staring,1,0,1
stacked,1,0,1
squatting,1,0,1
spuratic,1,0,1
spirited,1,0,1
spilled,1,0,1
speed,1,0,1
specifically,1,0,1
speaking,1,0,1
spacer,1,0,1
sorta,1,0,1
song,1,0,1
son,1,0,1
somthin,1,0,1
someones,1,0,1
solid,1,0,1
sob,1,0,1
smoking,1,0,1
smiles,1,0,1
smallest,1,0,1
slowly,1,0,1
slippery,1,0,1
slightly,1,0,1
slide,1,0,1
skipper,1,0,1
sketch,1,0,1
sized,1,0,1
situation,1,0,1
site,1,0,1
sides,1,0,1
shudders,1,0,1
shrinking,1,0,1
showing,1,0,1
shoves,1,0,1
shortcuts,1,0,1
shopping,1,0,1
shhhhh,1,0,1
sheriff,1,0,1
share,1,0,1
shanty,1,0,1
shaking,1,0,1
shake,1,0,1
shack,1,0,1
setting,1,0,1
selfish,1,0,1
seeing,1,0,1
season,1,0,1
searched,1,0,1
scratched,1,0,1
scientist,1,0,1
school,1,0,1
scheduled,1,0,1
scattered,1,0,1
sausage,1,0,1
satisfied,1,0,1
salt,1,0,1
safety,1,0,1
rushed,1,0,1
ruined,1,0,1
rubs,1,0,1
rounds,1,0,1
roots,1,0,1
rolls,1,0,1
rolling,1,0,1
roll,1,0,1
robin,1,0,1
roasted,1,0,1
rests,1,0,1
responsible,1,0,1
resources,1,0,1
research,1,0,1
reply,1,0,1
removed,1,0,1
religious,1,0,1
relaxed,1,0,1
relatively,1,0,1
refereed,1,0,1
recorded,1,0,1
reason,1,0,1
reaches,1,0,1
rationally,1,0,1
rambling,1,0,1
raining,1,0,1
puts,1,0,1
punctuality,1,0,1
punching,1,0,1
pulls,1,0,1
pull,1,0,1
proud,1,0,1
protruding,1,0,1
profusely,1,0,1
process,1,0,1
problem,1,0,1
preparing,1,0,1
precision,1,0,1
positively,1,0,1
portion,1,0,1
poring,1,0,1
pool,1,0,1
police,1,0,1
plops,1,0,1
pleasantly,1,0,1
plaster,1,0,1
planning,1,0,1
places,1,0,1
pitch,1,0,1
piss,1,0,1
phew,1,0,1
personally,1,0,1
paw,1,0,1
patterns,1,0,1
patch,1,0,1
passed,1,0,1
party,1,0,1
parts,1,0,1
parked,1,0,1
paraguay,1,0,1
oww,1,0,1
owl,1,0,1
overhmm,1,0,1
orgies,1,0,1
opportunity,1,0,1
omen,1,0,1
older,1,0,1
offence,1,0,1
october,1,0,1
oclock,1,0,1
occultic,1,0,1
occult,1,0,1
occasion,1,0,1
obviously,1,0,1
oatmeal,1,0,1
numerous,1,0,1
noticing,1,0,1
notebook,1,0,1
nostrils,1,0,1
nooo,1,0,1
noise,1,0,1
nods,1,0,1
ninety,1,0,1
nervously,1,0,1
necessary,1,0,1
nearby,1,0,1
national,1,0,1
nah,1,0,1
mystified,1,0,1
mustard,1,0,1
mucus,1,0,1
moves,1,0,1
mountiness,1,0,1
motives,1,0,1
moss,1,0,1
moooove,1,0,1
mmmm,1,0,1
misty,1,0,1
mists,1,0,1
missing,1,0,1
miss,1,0,1
millimeter,1,0,1
mess,1,0,1
mending,1,0,1
melty,1,0,1
measure,1,0,1
max,1,0,1
marshmallows,1,0,1
marrrrshmelllowwwss,1,0,1
market,1,0,1
mamma,1,0,1
makeup,1,0,1
mag,1,0,1
lungs,1,0,1
lunatic,1,0,1
loudly,1,0,1
loud,1,0,1
lots,1,0,1
looms,1,0,1
looked,1,0,1
logs,1,0,1
locations,1,0,1
locals,1,0,1
loaded,1,0,1
lived,1,0,1
lit,1,0,1
listening,1,0,1
lipstick,1,0,1
lifts,1,0,1
lift,1,0,1
licking,1,0,1
licked,1,0,1
level,1,0,1
lemme,1,0,1
legs,1,0,1
legends,1,0,1
legend,1,0,1
leans,1,0,1
layers,1,0,1
large,1,0,1
laced,1,0,1
killed,1,0,1
jut,1,0,1
jumps,1,0,1
juice,1,0,1
joy,1,0,1
joke,1,0,1
job,1,0,1
jitters,1,0,1
jiggles,1,0,1
jelly,1,0,1
jeans,1,0,1
intestines,1,0,1
interesting,1,0,1
interested,1,0,1
intention,1,0,1
inspection,1,0,1
inscribed,1,0,1
ingrid,1,0,1
inflicted,1,0,1
indicated,1,0,1
indecipherable,1,0,1
incredibly,1,0,1
incidence,1,0,1
importance,1,0,1
imagine,1,0,1
illiterate,1,0,1
ignorance,1,0,1
iee,1,0,1
hysterically,1,0,1
hyperventilating,1,0,1
hushes,1,0,1
hurtin,1,0,1
hurrying,1,0,1
hunting,1,0,1
humorless,1,0,1
humanly,1,0,1
humanity,1,0,1
huddling,1,0,1
hows,1,0,1
horror,1,0,1
hoooo,1,0,1
hole,1,0,1
holds,1,0,1
hmm,1,0,1
history,1,0,1
historian,1,0,1
hilarious,1,0,1
hhuh,1,0,1
hermit,1,0,1
helps,1,0,1
helping,1,0,1
hedges,1,0,1
heavily,1,0,1
heaters,1,0,1
heartily,1,0,1
headstones,1,0,1
heads,1,0,1
haunt,1,0,1
hasnt,1,0,1
hardly,1,0,1
harder,1,0,1
happening,1,0,1
happen,1,0,1
handful,1,0,1
halloween,1,0,1
hairy,1,0,1
hairs,1,0,1
guy,1,0,1
gutted,1,0,1
grunt,1,0,1
grow,1,0,1
grocery,1,0,1
greek,1,0,1
graves,1,0,1
gravel,1,0,1
grandmothers,1,0,1
gotten,1,0,1
gory,1,0,1
gore,1,0,1
goddamned,1,0,1
gleaming,1,0,1
glass,1,0,1
glares,1,0,1
girlfriend,1,0,1
gilligans,1,0,1
gigantic,1,0,1
ghost,1,0,1
general,1,0,1
fun,1,0,1
fully,1,0,1
fudge,1,0,1
fucker,1,0,1
fu,1,0,1
freezing,1,0,1
freaked,1,0,1
forward,1,0,1
forming,1,0,1
formation,1,0,1
