word,The Craft,Bedknobs and Broomsticks,total
dont,63,66,129
im,56,34,90
know,57,27,84
go,44,30,74
like,36,32,68
think,30,33,63
thats,26,33,59
come,30,29,59
right,23,28,51
want,34,16,50
good,23,27,50
see,17,32,49
oh,31,18,49
yeah,42,6,48
youre,31,15,46
please,20,24,44
whats,24,17,41
miss,1,40,41
really,26,14,40
cant,18,22,40
look,27,12,39
back,17,21,38
sorry,25,9,34
going,22,12,34
spell,5,28,33
mr,2,31,33
yes,8,22,30
stop,23,7,30
little,14,16,30
hes,17,13,30
time,5,23,28
take,9,19,28
shes,20,8,28
price,1,27,28
need,14,12,26
ill,16,10,26
didnt,19,7,26
things,6,19,25
book,4,21,25
bed,2,23,25
mean,16,8,24
thank,3,19,22
make,10,12,22
witch,8,13,21
way,11,10,21
give,6,14,20
old,2,17,19
gonna,15,4,19
course,3,16,19
work,3,15,18
tell,9,9,18
place,4,14,18
ive,5,13,18
wait,16,1,17
thing,7,10,17
shall,2,15,17
lets,9,8,17
away,8,9,17
aint,2,15,17
thought,9,7,16
maybe,15,1,16
home,9,7,16
help,5,11,16
better,6,10,16
matter,5,10,15
call,6,9,15
sea,1,13,14
house,3,11,14
head,12,2,14
doing,8,6,14
three,8,5,13
theyre,11,2,13
spells,3,10,13
power,12,1,13
nice,9,4,13
magic,8,5,13
love,11,2,13
light,9,4,13
beautiful,6,7,13
understand,8,4,12
theres,4,8,12
people,8,4,12
looking,7,5,12
life,6,6,12
feel,8,4,12
believe,6,6,12
youll,2,9,11
told,5,6,11
sure,7,4,11
powers,10,1,11
mind,4,7,11
id,2,9,11
hold,6,5,11
fine,8,3,11
find,3,8,11
touch,5,5,10
saying,8,2,10
put,6,4,10
man,6,4,10
lot,2,8,10
leave,5,5,10
keep,5,5,10
isnt,2,8,10
hear,8,2,10
happened,7,3,10
girls,9,1,10
youd,2,7,9
weird,6,3,9
times,7,2,9
sort,1,8,9
made,5,4,9
listen,6,3,9
lady,1,8,9
half,1,8,9
doesnt,6,3,9
bad,6,3,9
wrong,5,3,8
whos,4,4,8
two,1,7,8
turn,2,6,8
trying,6,2,8
try,4,4,8
stay,6,2,8
run,4,4,8
pay,7,1,8
night,3,5,8
move,4,4,8
important,1,7,8
havent,2,6,8
everybody,3,5,8
earth,6,2,8
day,3,5,8
big,6,2,8
ask,4,4,8
animals,1,7,8
air,5,3,8
youve,1,6,7
wont,1,6,7
watch,6,1,7
true,3,4,7
ready,3,4,7
read,5,2,7
pretty,5,2,7
makes,4,3,7
kind,2,5,7
killed,6,1,7
hurt,2,5,7
hate,6,1,7
great,5,2,7
found,2,5,7
eyes,4,3,7
end,4,3,7
dad,6,1,7
coming,4,3,7
afraid,3,4,7
white,3,3,6
weve,2,4,6
used,2,4,6
use,3,3,6
talk,4,2,6
supposed,4,2,6
shut,5,1,6
show,3,3,6
school,4,2,6
remember,3,3,6
real,5,1,6
practice,4,2,6
money,5,1,6
long,1,5,6
inside,5,1,6
hello,4,2,6
hell,4,2,6
having,3,3,6
hair,5,1,6
forget,4,2,6
five,4,2,6
fire,4,2,6
father,2,4,6
dead,5,1,6
cause,5,1,6
attention,1,5,6
arent,4,2,6
ages,1,5,6
wouldnt,1,4,5
water,4,1,5
today,3,2,5
thinking,4,1,5
somebody,3,2,5
sit,4,1,5
sell,1,4,5
seen,2,3,5
scared,4,1,5
room,3,2,5
reason,3,2,5
quiet,1,4,5
probably,1,4,5
new,3,2,5
nature,3,2,5
morning,1,4,5
later,2,3,5
late,3,2,5
hows,3,2,5
heard,2,3,5
gone,3,2,5
gift,1,4,5
getting,4,1,5
gave,3,2,5
friends,4,1,5
football,4,1,5
fly,2,3,5
far,2,3,5
excuse,1,4,5
deep,3,2,5
comes,3,2,5
close,3,2,5
chance,1,4,5
carry,1,4,5
care,1,4,5
called,3,2,5
bye,4,1,5
bring,1,4,5
world,1,3,4
woman,1,3,4
witches,2,2,4
upstairs,1,3,4
trust,2,2,4
travel,1,3,4
theyd,1,3,4
surprised,3,1,4
start,1,3,4
song,1,3,4
sleep,2,2,4
rush,2,2,4
poor,1,3,4
play,2,2,4
part,1,3,4
news,1,3,4
looks,3,1,4
live,1,3,4
learn,2,2,4
idea,1,3,4
heart,3,1,4
happening,3,1,4
hang,3,1,4
hand,2,2,4
goes,2,2,4
game,1,3,4
fun,1,3,4
flying,3,1,4
exist,3,1,4
door,1,3,4
clear,1,3,4
careful,1,3,4
came,3,1,4
worked,2,1,3
wonderful,1,2,3
wonder,1,2,3
women,1,2,3
wish,1,2,3
win,2,1,3
warm,2,1,3
usually,2,1,3
turned,1,2,3
truth,2,1,3
tonight,2,1,3
straight,2,1,3
story,1,2,3
speak,1,2,3
set,1,2,3
send,1,2,3
saw,2,1,3
reading,1,2,3
possible,1,2,3
position,1,2,3
plan,1,2,3
person,1,2,3
peace,2,1,3
open,2,1,3
ones,1,2,3
needs,1,2,3
mrs,1,2,3
minute,2,1,3
mine,2,1,3
luck,1,2,3
laid,2,1,3
hard,2,1,3
happy,1,2,3
green,2,1,3
glory,2,1,3
given,1,2,3
games,1,2,3
follow,1,2,3
feet,1,2,3
fear,2,1,3
fault,1,2,3
fall,2,1,3
exactly,1,2,3
eat,1,2,3
dreams,2,1,3
dream,2,1,3
deal,2,1,3
curtains,1,2,3
coward,1,2,3
couldnt,2,1,3
control,1,2,3
clean,1,2,3
child,1,2,3
cash,1,2,3
calls,1,2,3
brown,1,2,3
box,2,1,3
bathroom,1,2,3
basic,1,2,3
ancient,1,2,3
ago,1,2,3
writing,1,1,2
worst,1,1,2
wise,1,1,2
window,1,1,2
week,1,1,2
wasnt,1,1,2
voice,1,1,2
trees,1,1,2
tempting,1,1,2
teach,1,1,2
taking,1,1,2
sun,1,1,2
suits,1,1,2
stairs,1,1,2
st,1,1,2
spiritual,1,1,2
soon,1,1,2
somewhat,1,1,2
side,1,1,2
safe,1,1,2
ring,1,1,2
rest,1,1,2
responsible,1,1,2
questions,1,1,2
pick,1,1,2
personally,1,1,2
personal,1,1,2
paid,1,1,2
moving,1,1,2
moon,1,1,2
missing,1,1,2
message,1,1,2
meeting,1,1,2
mark,1,1,2
manners,1,1,2
mad,1,1,2
looked,1,1,2
la,1,1,2
knows,1,1,2
judge,1,1,2
interesting,1,1,2
imagine,1,1,2
hole,1,1,2
hiding,1,1,2
hey,1,1,2
glad,1,1,2
genius,1,1,2
full,1,1,2
frighten,1,1,2
friendship,1,1,2
french,1,1,2
fool,1,1,2
food,1,1,2
felt,1,1,2
fathers,1,1,2
face,1,1,2
expect,1,1,2
different,1,1,2
died,1,1,2
dangerous,1,1,2
crashed,1,1,2
city,1,1,2
check,1,1,2
burn,1,1,2
bug,1,1,2
breath,1,1,2
bravo,1,1,2
boy,1,1,2
blind,1,1,2
bet,1,1,2
belong,1,1,2
bedroom,1,1,2
bag,1,1,2
anybody,1,1,2
alert,1,1,2
ahead,1,1,2
sarah,29,0,29
okay,21,0,21
nancy,21,0,21
god,20,0,20
guys,18,0,18
chris,17,0,17
shit,13,0,13
manon,10,0,10
invoke,10,0,10
harm,10,0,10
thee,9,0,9
hi,9,0,9
watchtowers,8,0,8
laura,8,0,8
honey,8,0,8
hail,8,0,8
guardians,8,0,8
working,7,0,7
talking,7,0,7
bonnie,7,0,7
pathetic,6,0,6
north,6,0,6
kill,6,0,6
hit,6,0,6
girl,6,0,6
fourth,6,0,6
circle,6,0,6
second,5,0,5
rochelle,5,0,5
paranoid,5,0,5
mother,5,0,5
happen,5,0,5
gotta,5,0,5
francis,5,0,5
finger,5,0,5
connie,5,0,5
bitch,5,0,5
weak,4,0,4
wanted,4,0,4
tricky,4,0,4
stuff,4,0,4
sisters,4,0,4
scars,4,0,4
san,4,0,4
red,4,0,4
perfect,4,0,4
mom,4,0,4
lights,4,0,4
francisco,4,0,4
feather,4,0,4
enter,4,0,4
drink,4,0,4
couch,4,0,4
board,4,0,4
bind,4,0,4
ass,4,0,4
actually,4,0,4
west,3,0,3
tv,3,0,3
stiff,3,0,3
spirit,3,0,3
south,3,0,3
serpent,3,0,3
relax,3,0,3
ray,3,0,3
natural,3,0,3
jesus,3,0,3
jealous,3,0,3
heavy,3,0,3
heads,3,0,3
guy,3,0,3
guess,3,0,3
glamour,3,0,3
funny,3,0,3
east,3,0,3
downs,3,0,3
devil,3,0,3
cry,3,0,3
crazy,3,0,3
corners,3,0,3
completely,3,0,3
car,3,0,3
butt,3,0,3
body,3,0,3
blonde,3,0,3
black,3,0,3
bill,3,0,3
bigger,3,0,3
balance,3,0,3
apartment,3,0,3
whyd,2,0,2
weirdos,2,0,2
ways,2,0,2
wanna,2,0,2
walk,2,0,2
waiting,2,0,2
unto,2,0,2
uniform,2,0,2
undo,2,0,2
underneath,2,0,2
twenty,2,0,2
tried,2,0,2
tomorrow,2,0,2
throwing,2,0,2
thanks,2,0,2
takes,2,0,2
sweet,2,0,2
surprise,2,0,2
sucks,2,0,2
storm,2,0,2
steal,2,0,2
started,2,0,2
special,2,0,2
slut,2,0,2
slit,2,0,2
size,2,0,2
scary,2,0,2
salon,2,0,2
rub,2,0,2
roof,2,0,2
rochelles,2,0,2
results,2,0,2
relaxed,2,0,2
reach,2,0,2
ran,2,0,2
procedure,2,0,2
powerful,2,0,2
policy,2,0,2
plane,2,0,2
phone,2,0,2
party,2,0,2
outside,2,0,2
noninvasive,2,0,2
needle,2,0,2
nah,2,0,2
middle,2,0,2
loved,2,0,2
keeps,2,0,2
juke,2,0,2
joke,2,0,2
jerk,2,0,2
jenny,2,0,2
impressed,2,0,2
hundred,2,0,2
huh,2,0,2
howd,2,0,2
hour,2,0,2
hot,2,0,2
hooker,2,0,2
holy,2,0,2
hanging,2,0,2
goddamn,2,0,2
form,2,0,2
fingers,2,0,2
feeling,2,0,2
experience,2,0,2
especially,2,0,2
discount,2,0,2
dinner,2,0,2
definitely,2,0,2
days,2,0,2
darling,2,0,2
concentrate,2,0,2
calm,2,0,2
busy,2,0,2
blessed,2,0,2
bleeding,2,0,2
blade,2,0,2
baby,2,0,2
apologize,2,0,2
anyway,2,0,2
amazing,2,0,2
accident,2,0,2
write,1,0,1
wrists,1,0,1
wreckage,1,0,1
wrap,1,0,1
wow,1,0,1
worship,1,0,1
wondering,1,0,1
wind,1,0,1
wick,1,0,1
whores,1,0,1
whore,1,0,1
wholeness,1,0,1
whoa,1,0,1
whered,1,0,1
whatd,1,0,1
wear,1,0,1
watching,1,0,1
warranties,1,0,1
warming,1,0,1
waah,1,0,1
view,1,0,1
veins,1,0,1
upright,1,0,1
unofficially,1,0,1
unleash,1,0,1
undoing,1,0,1
uh,1,0,1
turns,1,0,1
trip,1,0,1
treys,1,0,1
tremendous,1,0,1
treating,1,0,1
treat,1,0,1
trash,1,0,1
trail,1,0,1
tragedy,1,0,1
towels,1,0,1
totally,1,0,1
todays,1,0,1
tits,1,0,1
tiny,1,0,1
thy,1,0,1
throat,1,0,1
threefold,1,0,1
thoughts,1,0,1
therapy,1,0,1
theological,1,0,1
temple,1,0,1
tells,1,0,1
telling,1,0,1
taxis,1,0,1
suspect,1,0,1
survivors,1,0,1
survival,1,0,1
surround,1,0,1
surrender,1,0,1
superb,1,0,1
summon,1,0,1
suffering,1,0,1
suffer,1,0,1
subtle,1,0,1
stupid,1,0,1
strong,1,0,1
strange,1,0,1
stir,1,0,1
sting,1,0,1
stepford,1,0,1
steals,1,0,1
starts,1,0,1
stare,1,0,1
standard,1,0,1
stadium,1,0,1
square,1,0,1
spreads,1,0,1
sprained,1,0,1
split,1,0,1
spent,1,0,1
spending,1,0,1
spanish,1,0,1
space,1,0,1
sounded,1,0,1
somethin,1,0,1
social,1,0,1
snakes,1,0,1
snake,1,0,1
snail,1,0,1
smaller,1,0,1
slick,1,0,1
sleeping,1,0,1
sister,1,0,1
simpler,1,0,1
shy,1,0,1
shrunken,1,0,1
shouldve,1,0,1
shopping,1,0,1
shone,1,0,1
shitty,1,0,1
shell,1,0,1
shear,1,0,1
sharp,1,0,1
shark,1,0,1
shape,1,0,1
shampoo,1,0,1
severe,1,0,1
seventy,1,0,1
seriously,1,0,1
seeing,1,0,1
seat,1,0,1
screwing,1,0,1
screwed,1,0,1
scattered,1,0,1
saved,1,0,1
save,1,0,1
saunders,1,0,1
satan,1,0,1
sarahs,1,0,1
sad,1,0,1
sack,1,0,1
rushed,1,0,1
running,1,0,1
ruler,1,0,1
rude,1,0,1
rocks,1,0,1
rock,1,0,1
risk,1,0,1
retrieved,1,0,1
restaurant,1,0,1
respect,1,0,1
relieved,1,0,1
relatively,1,0,1
regarding,1,0,1
records,1,0,1
rearview,1,0,1
rain,1,0,1
rag,1,0,1
racist,1,0,1
puppy,1,0,1
punk,1,0,1
pulled,1,0,1
pubic,1,0,1
provisions,1,0,1
processing,1,0,1
principal,1,0,1
prayers,1,0,1
pray,1,0,1
practical,1,0,1
pool,1,0,1
police,1,0,1
plays,1,0,1
playing,1,0,1
played,1,0,1
planet,1,0,1
pipe,1,0,1
pig,1,0,1
pieces,1,0,1
pension,1,0,1
penetrates,1,0,1
peg,1,0,1
pedicure,1,0,1
passes,1,0,1
pass,1,0,1
palms,1,0,1
painful,1,0,1
oxygen,1,0,1
ooh,1,0,1
onlooker,1,0,1
oldest,1,0,1
older,1,0,1
officials,1,0,1
obsession,1,0,1
noticing,1,0,1
noticed,1,0,1
nobodys,1,0,1
nightmare,1,0,1
neighbors,1,0,1
neighborhood,1,0,1
negroids,1,0,1
nasty,1,0,1
narcissistic,1,0,1
nappy,1,0,1
nancys,1,0,1
nailed,1,0,1
moves,1,0,1
mothers,1,0,1
mood,1,0,1
monster,1,0,1
mister,1,0,1
mirror,1,0,1
mile,1,0,1
mexican,1,0,1
mays,1,0,1
mass,1,0,1
mammoth,1,0,1
major,1,0,1
magical,1,0,1
lying,1,0,1
low,1,0,1
loving,1,0,1
lousiest,1,0,1
los,1,0,1
loni,1,0,1
lizzies,1,0,1
lizzie,1,0,1
listening,1,0,1
lirio,1,0,1
liked,1,0,1
lie,1,0,1
lid,1,0,1
letting,1,0,1
lend,1,0,1
leaving,1,0,1
leaves,1,0,1
